Line,Artist,Life,Nationality,Title,Creation Date,Number,Of,Print Date,Medium,Type,Color / B&W,Qty,Height,Width,Depth,Height,Width,Depth,Signed,Presentation,Protection,Condition,Location Address,Room,Acquisition Date,Seller,Lot No.,Provenance Notes,Extra 1,Improvements,Expenses,Shows,Extra 1,Disposition Date,Buyer,Sale Amount,Realized Gain / (Loss),Provenance Notes,Extra 1,Estimated Valuation,image URL
16,"Beals, Gary",b. 1933,American,Bindings VI,2011,,,,Sculpture,"Hand fabricated steel, powder-coated",Color,,100,16.5,16.5,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Backyard,14-May-11,"Karan Ruhlen Gallery, Santa Fe",,"Karan Ruhlen Gallery, Santa Fe; fabricated, delivered and installed by the artist",,,,,,,,,,,,,https://i.pinimg.com/736x/07/e4/fc/07e4fc8666d9c985e19f0919953835e7--yellow-art-santa-fe.jpg
17,"Beard, Peter",1938-2020,American,Ape Skull from Rwanda,1984,,,,Photograph,Gelatin Silver Print with blood & ink,Black & White,,23.75,19,,,,,"Signed, dated, inscribed on image",Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",,19-Sep-17,"Phillips, New York",52,,,,,,,,,,,,,,https://d7hftxdivxxvm.cloudfront.net/?resize_to=fit&width=667&height=800&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FdIn4sze41m73tqz85agh6A%2Fnormalized.jpg
18,"Beard, Peter",1938-2020,American,I'll Write Whenever I Can,1965,,,,Photograph,"Gelatin Silver, dye coupler, oil paint and blood with natural elements and collage",Black & White,,23,32,,33,42,,Signed and inscribed in ink throughout the sheet,Framed,,Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",,6-Oct-20,"Heritage Auctions, Dallas",73358,"The Time Is Always Now, New York",,,,,,,,,,,,,https://images2.bonhams.com/image?src=Images/live/2012-03/20/8509155-2-2.jpg&width=640&height=480&autosizefit=1
19,"Berg, Wesley",b. 1980,American,Two Bears,2011,,,,Drawing,Charcoal on Paper,Black & White,,93,100,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,14-May-11,222 Shelby Street Gallery. Santa Fe NM,,"221 Shelby Street Gallery, 333 Montezuna Annex, Tom Tavelli",,,,,,,,,,,,,
20,"Berger Remond, Fabrice",b. 1967,France,Tournesol,1991,185,200,1991,Lithograph,Paper,Color,,29.5,21,,32,23.25,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bavington Bedroom,,,,Gift of Artist,,,,,,,,,,,,,
21,"Berger Remond, Fabrice",b. 1967,France,Bonjour L'Amour,1993,,,,Painting,,Color,,81.5,95,,,,,Signed,Stretched,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Dining Room,,,,,,,,,,,,,,,,,
22,"Berger Remond, Fabrice",b. 1967,France,Les Humeurs of the Just Married Couple,,,,,Painting,,Color,,50,50,,,,,Signed,Stretched,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Living Room,,,,,,,,,,,,,,,,,
23,"Berger Remond, Fabrice",b. 1967,France,White Basquiat,,,,,Painting,,Color,,82,86,,,,,Signed,Stretched,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,,,,,,,,,,,,,,,,,
24,"Bianchi, Tom",b. 1945,American,"Untitled, 260, Fire Island Pines, 1975-1983",1975-1983,3,5,2017,Photograph,Archival Pigment Print,Color,,30,30,,41.8,34.5,,"Signed, numbered on recto",Unframed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,14-Dec-17,Tom Bianchi Gallery,,Acquired directly from the artist,,,,,,,,,,,,,
25,"Bianchi, Tom",b. 1945,American,"Untitled, 299, Fire Island Pines, 1975-1983",1975-1983,,10,,Photograph,Archival Pigment Print,Color,,20,20,,41.8,34.5,,"Signed, numbered on recto",Unframed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,19-Mar-18,Paddle8,12,Paddle8 Boys! Boys! Boys! Auction,,,,,,,,,,,,,
26,"Blitzstein, Harry",,American,Pencil,,,,,Sculpture,,,,,,,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,,,,Purchased directly from the Artist,,,,,,,,,,,,,
27,"Blitzstein, Harry",,American,Standing Dogs piece,,,,,Sculpture,,,,,,,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,,,,Purchased directly from the Artist,,,,,,,,,,,,,
28,"Brandt, Matthew",b. 1982,American,"Hills Creek Lake, OR 7 from Lakes and Reservoirs",2009,1,1,2009,Photograph,"Chromogenic Print, soaked in Hills Creek Lake water",Color,,30,40,,32,42,,"Signed, titled and dated on verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,1-Oct-14,Phillips,278,"Phillips, from M + B Gallery",,,,,,,,,,,,,
29,"Brandt, Matthew",b. 1982,American,Plastic Cleaner Magic 05 (from the Series Can Scans),2014,Unique,,2014,Photograph,Chromogenic Print in plexiglass frame with Plastic Cleaner Magic and Watercolor,Color,,10.75,5.25,,10.75,5.25,,,Framed,,,,,14-Oct-15,MOPA San Diego (2015 Photo Auction),110,Yossi Milo Gallery,,,,,,,,,,,,,
30,"Braver, Nancy",,American,Column 7,2007,1,1,,Sculpture,"Acrylic, aluminum cable",Color,,96,24,,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,12-Jun-09,Nancy Braver,,Purchased directly from the Artist,,,,,,,,,,,,,
31,"Bristol, Horace",1908-1997,American,"PBY Blister Gunner, Rescue at Rabaul",1944,2,10,2001,Photograph,Iris Print,Black & White,,26,25,,,,,Stamped and signed by the Estate,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,29-Nov-01,MediaRare,,,,,,,,,,,,,,,
32,"Brodie, Mike",b. 1985,American,#3069,2006-2009,9,10,,Photograph,Chromogenic Print,Color,,13,19,,20.75,26.75,,"Signed, dated, titled and numbered certificate",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Breakfast Room,12-Nov-13,"M+B Gallery, Los Angeles",,"M+B Gallery, Los Angeles",,,,,,,,,,,,,
33,"Brodie, Mike",b. 1985,American,#5065,2006-2009,7,10,,Photograph,Chromogenic Print,Color,,13,19,,20.75,26.75,,"Signed, dated, titled and numbered certificate",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Breakfast Room,12-Nov-13,"M+B Gallery, Los Angeles",,"M+B Gallery, Los Angeles",,,,,,,,,,,,,
34,"Brodie, Mike",b. 1985,American,#5060,2006-2009,9,10,,Photograph,Chromogenic Print,Color,,13,19,,20.75,26.75,,"Signed, dated, titled and numbered certificate",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,14-Mar-17,"M+B Gallery, Los Angeles",,"M+B Gallery, Los Angeles",,,,,,,,,,,,,
35,"Brodie, Mike",b. 1985,American,#5257,2006-2009,5,10,,Photograph,Chromogenic Print,Color,,13,19,,20.75,26.75,,"Signed, dated, titled and numbered certificate",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,20-Feb-20,"CONAN Hotel d'Ainay Auctions, Lyon, France",488,"Private Collection France, from M+B Gallery, Los Angeles",,,,,,,,,,,,,
36,"Bucklow, Christopher",b. 1957,,"Guest, 5:20pm, 10 September, 1995",1995,,,,Photograph,Unique Dye-Bleach Print,Color,,38.625,30,,,,,"Signed, titled, dated in pencil on the reverse of the flush mount",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,31-Mar-15,"Christie's, New York",52,"Paul Kasmin Gallery, NY 1995",,,,,,,,,,,,,
37,"Burtynsky, Edward",b. 1955,Canadian,"Densified Oil Drums #4, Hamilton, Ontario 1997",1997,AP1/2,10,1998,Photograph,Chromogenic Print,Color,,30,40,,,,,Signed in ink on label in file.,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,22-Jan-03,Flowers East,,,,,,,,,,,,,,,
38,"Burtynsky, Edward",b. 1955,Canadian,"Iberia Quarries #8, Cochicho Co., Paradais, Portugal",2006,6,9,2007,Photograph,Chromogenic Print,Color,,38.5,48.25,,41,51,,"Signed on a label on the reverse, framed, a Nicholas Metivier Gallery label on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Dining Room,28-Sep-17,Sothebys New York,92,"Nicholas Metivier Gallery, Toronto",,,,,,,,,,,,,
39,"Carmi, Eugenio",b. 1920,Italian,Ultra Violet,,1,150,,Lithograph,Paper,Color,1,36,36,,,,,,Framed,,Good,The Colosseum at Caesars Palace,Green Room,1-Nov-05,Tom Crangle,,Purchased from Tom Crangle,,,,,,,,,,,,,
40,"Carmi, Eugenio",b. 1920,Italian,Segnale Immaginario,,116,150,,Lithograph,Paper,Color,1,36,36,,,,,,Framed,,Good,The Colosseum at Caesars Palace,Green Room,1-Nov-05,Tom Crangle,,Purchased from Tom Crangle,,,,,,,,,,,,,
41,"Carmi, Eugenio",b. 1920,Italian,Cerchio Magico,,35,150,,Lithograph,Paper,Color,1,36,24,,,,,,Framed,,Good,The Colosseum at Caesars Palace,Green Room,1-Nov-05,Tom Crangle,,Purchased from Tom Crangle,,,,,,,,,,,,,
42,"Carmi, Eugenio",b. 1920,Italian,Obliquo Immaginario,,91,150,,Lithograph,Paper,Color,1,36,24,,,,,,Framed,,Good,The Colosseum at Caesars Palace,Green Room,1-Nov-05,Tom Crangle,,Purchased from Tom Crangle,,,,,,,,,,,,,
43,"Clark, Larry",b. 1943,American,"David Keith, Oklahoma City 1975 (from Teenage Lust, 1983)",1975,,,1975,Photograph,Silver RC Print,Black & White,,13.5,9.25,,20.5,16.5,,"Signed, titled ""David Kieth"" and dated",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,4-Apr-12,Swann Auction Galleries,413,The photograph was gifted by Clark to Thomas Garver and has been in his collection since the 1970's.  Garver was a curator who organized Clark's first museum exhibition.,,,,,,,,,,,,,
44,"Clark, Larry",b. 1943,American,"Untitled (Naked Teens Shooting Up, from Tulsa, 1971)",1971,,,1980-81,Photograph,Silver Print,Black & White,,12.5,8.5,,20.5,16.5,,"Signed and inscribed with annotations ""T47, AP 4/5, 1971"" in pencil on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Oct-12,"Sotheby's, New York",157,,,,,,,,,,,,,,
45,"Clark, Larry",b. 1943,American,"Self Portrait w/ Teenagers (from Teenage Lust, 1983)",1970s-80s,,,1980-81,Photograph,Silver Print,Black & White,,12.5,8.5,,20.5,16.5,,"Signed and inscribed with annotations ""TL28, 8/100"" in pencil on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Oct-12,"Sotheby's, New York",157,,,,,,,,,,,,,,
46,"Clark, Larry",b. 1943,American,"Untitled (Standing Blow Job, from Teenage Lust, 1983)",1970s-80s,,,1980-81,Photograph,Silver Print,Black & White,,12.5,8.5,,20.5,16.5,,"Signed and inscribed with annotations ""TL47, 8/100"" in pencil on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Oct-12,"Sotheby's, New York",157,,,,,,,,,,,,,,
47,"Clark, Larry",b. 1943,American,"Brother & Sister (from Teenage Lust, 1983)",1970s-80s,,,1980-81,Photograph,Silver Print,Black & White,,12.5,8.5,,20.5,16.5,,"Signed and inscribed with annotations ""TL48, 8/100"" in pencil on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Oct-12,"Sotheby's, New York",157,,,,,,,,,,,,,,
48,"Clark, Larry",b. 1943,American,"Prostitute Gives Teenager His First Blowjob (from Teenage Lust, 1983)",1970s-80s,,,1980-81,Photograph,Silver Print,Black & White,,12.5,8.5,,20.5,16.5,,"Signed and inscribed with annotations ""TL64, 8/100"" in pencil on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Oct-12,"Sotheby's, New York",157,,,,,,,,,,,,,,
49,"Clark, Larry",b. 1943,American,"They Met A Girl On Acid In Bryant Park At 6am And Took Her Home…1980 (from Teenage Lust, 1983)",1980,,,1980-81,Photograph,Silver Print,Black & White,,12.5,8.5,,20.5,16.5,,"Signed and inscribed with annotations ""TL90, 8/100"" in pencil on the reverse",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Oct-12,"Sotheby's, New York",157,,,,,,,,,,,,,,
50,"Clergue, Lucien","1934-Nov. 15, 2014",French,Deux Nus de la Plage,1972,15,60,1980,Photograph,Gelatin Silver Print,Black & White,,14.375,9.75,,24.25,19,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Jack & Jill Bathroom,2-Nov-09,Aperture Foundation 2009 Benefit & Auction,26,Aperture Foundation 2009 Benefit & Auction,,,,,,,,,,,,,
51,"Clergue, Lucien","1934-Nov. 15, 2014",French,Pharaonne,1981,6,25,1982,Photograph,Cibachrome Prints,Color,11,11,7.5,,,,,"Each signed in white crayon in the margin, credit, title, date, process, copyright and edition ""6/25"" in ink on the reverse ",Mounted,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,5-Oct-11,Sotheby's,143,"Sotheby's New York, Post Sale Purchase, gift of the photographer to the present owner, 1996",,,,,,,,,,,,,
52,"Clergue, Lucien","1934-Nov. 15, 2014",French,"Nu de la Mer, Genese.",1965,5,20,1973,Photograph,Silver Print,Black & White,,20.625,15.375,,31.625,26,,"Signed, series title in ink on recto, and with signature, title, date, printing notations, edition notation 5/20 and gift notation, in ink on verso.",Framed,,Very Good,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Jack & Jill Bathroom,11-Dec-14,Swann Auction Galleries,503,Gifted by the photographer to a private collection since the 1970's,,,,,,,,,,,,,
53,"Connell, Robert",b. 1947,American,Hood Canal Landscape,,,,,Painting,,Color,,,,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Green Bedroom,5-Aug-11,"Davidson Contemporary, Seattle",,"Davidson Contemporary, Seattle",,,,,,,,,,,,,
54,"Connell, Robert",b. 1947,American,Gravel Road,,,,,Painting,,Color,,,,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Green Bedroom,5-Aug-11,"Davidson Contemporary, Seattle",,"Davidson Contemporary, Seattle",,,,,,,,,,,,,
55,"Darzacq, Denis",b. 1961,French,San Titre #10,2006,2,8,,Photograph,,Color,,41.5,27.5,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,12-Mar-10,"de Soto Gallery, Los Angeles",,"de Soto Gallery, Lods Angeles, CA",,,,,,,,,,,,,
56,"Dicorcia, Philip-Lorca",b. 1951,American,Juliet Ms. Muse,2004,2,8,,Photograph,Fugi Color Crystal Archive Print,Color,,60,39.75,,,,,"Signed in ink, printed title, date and number 2/8 on labels affixed to the reverse of the mount",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,3-Apr-13,Phillips,,Phillips,,,,,,,,,,,,,
57,"Engel, Jules",1909-2003,American/Hungarian,Multi-Color,,AP,,,Lithograph,Paper,Color,,25.5,25.5,,,,,Signed,Framed,,Good,"Bob & Sue Nelson Residence, Las Vegas NV",Spare Room,1-Nov-05,Tom Crangle,,Purchased from Engel 12/29/1983,,,,,,,,,,,,,
58,"Farber, Neil",b. 1975,American,So Sad Because…,2007,,,,Painting,Acrylic and colored ink on paper,Color,,22,30,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,29-Feb-08,Richard Heller Gallery,,,,,,,,,,,,,,,
59,"Fredericks, Murray",b. 1970,Australian,Salt 104 (Blue),2009,6,7,2011,Photograph,Pigment print on cotton rag,Color,,47.25,59,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bavington Bedroom,14-Sep-11,"Arc One Gallery, Melbourne, Australia",,,,,,,,,,,,,,,
60,"Fredericks, Murray",b. 1970,Australian,Salt 21 (Yellow),2009,1,7,2011,Photograph,Pigment print on cotton rag,Color,,47.25,59,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Bavington Bedroom,14-Sep-11,"Arc One Gallery, Melbourne, Australia",,,,,,,,,,,,,,,
61,"Gaudet, Mitchell",b. 1962,American,"Glass Daggers: Envy, Bitch, Homo, Lust",2004,,,,Sculpture,Cast glass with inclusions,Color,,14,6,1,,,,,,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,9-Dec-10,"Arthur Roger Gallery, New Orleans",,"Arthur Roger Gallery, New Orleans",,,,,,,,,,,,,
62,"Giacomelli, Mario",1925-2000,Italian,"Il Mare Dei miei Racconti, A Series of 10 Photographs",1992,,,,Photograph,Silver Print,Black & White,10,12.25,15.5,,,,,"Each signed in pencil and stamped with series title and with two photographer's stamps, on the reverse.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,12-Nov-07,"Sotheby's, London, New Bond Street",114,,,,,,,,,,,,,,
63,"Gobel, James",b. 1972,American,"Untitled, Interior Still Life",,,,,Painting,Felt on Panel,Color,,,,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,5-Dec-08,Schaeffer Projects,,,,,,,,,,,,,,,
64,"Goddard, Steve",b. 1959,British,Kunst I,2007,,,,Painting,Gouache and pencil on paper,Color,,,,,,,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,26-Jun-07,"Fine Arts Society, London",,,,,,,,,,,,,,,
65,"Goddard, Steve",b. 1959,British,Kunst II,2007,,,,Painting,Gouache and pencil on paper,Color,,,,,,,,Signed,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,26-Jun-07,"Fine Arts Society, London",,,,,,,,,,,,,,,
66,"Greenberg, Jill",b. 1967,American,Untitled (Ursin 292-1),2008,1,7,2010,Photograph,Archival Pigment Print,Color,,43,50,,44,52,,"Signed and numbered on label, verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery,11-Feb-10,"ClampArt, New York",,"ClampArt, New York",,,,,,,,,,,,,
67,"Gualdoni, Dan",b. 1943,American,Aer/Eire Series #91,2005,,,,Painting,Mixed media on panel,Color,,17,15,,,,,Signed and dated on verso,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,2-Sep-06,"Davidson Contemporary, Seattle",,,,,,,,,,,,,,,
68,"Gualdoni, Dan",b. 1943,American,Aer/Eire Series #92,2005,,,,Painting,Mixed media on panel,Color,,17,15,,,,,Signed and dated on verso,Panel,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Office,2-Sep-06,"Davidson Contemporary, Seattle",,,,,,,,,,,,,,,
69,"Gutmann, John",1905-1998,American,"The Swimmer, San Francisco",1934,,,,Photograph,Gelatin Silver Print,Black & White,,13,10.125,,23,19.25,,"Signed, titled and dated in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bathroom,28-Apr-15,Bonham's,49,"Fraenkel Gallery, San Francisco",,,,,,,,,,,,,
70,"Hilliard, David",b. 1964,American,The Lucky Coin,1995,8,10,2001,Photograph,Chromogenic Print,Color,,48,20,,,,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Master Bedroom,9-Mar-02,Mark Moore Gallery,,,,,,,,,,,,,,,
71,"Hofer, Candida",b. 1944,German,"Campo Santo, Pisa",1985,6,6,,Photograph,Chromogenic Print,Color,,14.5,22,,26,33,,"Signed, titled, dated and numbered 6/6 in pencil on the verso",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,25-Oct-16,"Bonhams, New York",68,"Nicole Klagsburn Gallery, New York",,,,,,,,,,,,,
72,"Hofer, Candida",b. 1944,German,Kunsthal Rotterdam II,2000,1,6,,Photograph,Color Coupler Print,Color,,23.5,23.375,,,,,"Signed in ink on the reverse of the flush-mount; typed title, date and numer 1/6 on a label affixed to the reverse of the flush-mount.",Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Library,9-Apr-08,Phillips de Pury & Company,375,"Karyn Lovegrove Gallery, Los Angeles",,,,,,,,,,,,,
73,"Hollander, Tanja",,American,Portrait of Milo Miloscia + John Nelson,2017,1,1,2017,Photograph,,Color,,,,,27.75,27.25,,,Framed,,Excellent,"7432 Silver Palm Avenue, Las Vegas, NV  89117",Gallery Storage,1-Jul-17,Artist,,Gift from the Artist,,,,,,,,,,,,,
